3:rGsLdAIEK:tf
96:buHztfZ2WVNIf4jpuWaQr+rLu8umdSdXDERod79roWcncZYzc4:KHBpAWaQSG8umdSdXDERI79rTcncK
3:swBJAEPwS9KTXzhAXwEQaxRAAbsEBJJ67EGV21MO/IJj0:dBJAEHGDzyRlbRmVOZ/IC
24:ibVjh9wO+VuT7boVaXOr6kwmDgUPMztxdEr6tP:AwO+VUjXOmokx0oP
96:GeQD2zxqjX6/ZxdXdeS0cWJthbdqN2fzMP0KNniFN/+4aKZJMzdd/Q:90kd3W742fzMPvwFN24tMP/Q
3:swBJAEPw1MO/OywS9KTXzhAXwEQaxRGUkn/n:dBJAEoZ/OEGDzyRcn
48:nmi/l1xQwzQZwgwugkRxkxRJ1ek3L3gwcrjrcxgd3OIYGxAm3FbLN0Gp3FNjcWt4:nmi/l1xQGQZfwugkRxkxRJ1N7QFrjrcH
96:oQkHWhNbJj7t9X13bz9Yhr8X5alVNb73JFO:n0WXX9FrBCIkrNbbrO
24:dlDp3sR8+tTP4I1/muKmbUB+5T0vU4wGf:N3E8+t7f/dKx+x0EGf
3:sBv:A
48:o4/c+4QjuC5Q4FNO0MeAXGo4E/gjF5J/RscXr9ubudS19WOG/iB:oc94A5TNO0MHYXrMeS1oXiB
12:nTwfTPZsnEoT41n9an2TptyRw6i9GSwmX8zt0rnt:nAPZx6nUtow60dUtI
24:hWnkWDCQlQtyOovbOGMUD1ulvgDWDQyl3LPxQTRKT07GiJUlYjz:hWkQC3l3612lhbxQ/GJlC
